,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Commodity Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,0.209297,0.0018906,0,0.000217,0.0000913,0,0.0008618,0,0,0,0,0,0,0,0,0,0,0.0005946,0.2384514,0.0186966,0,0,0,0,0.011918,0,0.0000062,0.0006404,0.0003173,0.0000242,0.000071,0,0,0,0,0,0,0.0001208,0,0,0,0,0,0.0000001,0,0,0,0,0.0000007,0,0.0000008,0.0000002,0.0003368,0.000044,0.0007918,0,0.0006306,0,0,0,0,0,0.0014016,0.0001975,0.0039581,0.0000077,0.0000651,0.0000324,0,0.0015569,0
113FF,"Forestry, fishing, and related activities",0.0558677,0.1308283,0,0.000929,0,0,0,0.1047864,0.0000033,0,0,0,0,0,0,0,0.0012147,0.0015557,0.0052605,0,0.0088078,0.0171118,0.0002973,0,0.0004055,0.005737,0,0,0.001393,0,0,0,0,0,0,0,0,0.0000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000086,0.0000326,0.0000034,0,0.0000895,0,0,0,0,0,0.0011217,0.0008929,0.0038273,0.0000612,0,0,0.0001105,0.0015762,0
211,Oil and gas extraction,0,0,0.0641171,0.0001587,0.0000414,0.0283052,0,0.0001505,0.0000469,0.000042,0.0000173,0,0,0,0.0000011,0,0,0,0.0000183,0,0,0.000063,0.0000531,0.563306,0.0146287,0.0000826,0.0000249,0.0000909,0.0000362,0.0000348,0.0000729,0,0,0,0,0,0.0009623,0,0.00286,0.0006218,0.0001462,0.0000424,0.0002105,0,0,0,0,0,0.0000838,0,0,0.000008,0.0000348,0.0000207,0.0000165,0.0004617,0.0038179,0.0004027,0.0000111,0.0000807,0.0001044,0.0001083,0.0008672,0.0001267,0.0000177,0.000138,0,0,0.0063403,0,0.0306705
212,"Mining, except oil and gas",0.0024257,0.000002,0.000135,0.0822738,0.0008213,0.007871,0.0089862,0.0000407,0.0694682,0.0422341,0.0010777,0.0002031,0.000012,0.0003811,0.0000943,0.0001759,0.0001417,0.0007461,0.0007893,0.0004681,0,0.0046873,0,0.00301,0.0050759,0.0003108,0.0000068,0,0,0,0.0000017,0,0.0010018,0,0.000011,0.0000012,0,0.0000019,0.000008,0.0000283,0.0000722,0.0001748,0.001695,0,0,0,0,0.0000018,0,0,0,0,0.0004832,0.0000318,0.0008176,0.0003419,0.0017357,0,0.0000179,0.0001145,0.0003956,0.001519,0.0033459,0.0004631,0.0005234,0.0010883,0,0.0049794,0,0.0006737,0.0110912
213,Support activities for mining,0,0,0.0559448,0.0206516,0.0201379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000111,0.0000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0.0213722,0.0008768,0.019269,0.0329361,0.0027551,0.0532397,0.0055621,0.0126162,0.0317831,0.0220338,0.0121969,0.0056115,0.0038046,0.0081662,0.0045004,0.0085821,0.0086989,0.0048621,0.009235,0.0160121,0.0099545,0.0305198,0.0149856,0.0039022,0.0156504,0.0183516,0.0054515,0.0131209,0.0272972,0.0196812,0.0106826,0.0079693,0.0008874,0.002696,0.0129218,0.0047248,0.0301028,0.0039862,0.0159882,0.0019874,0.0031261,0.010473,0.0092012,0.0036059,0.0023697,0.0005398,0.0103487,0.0000476,0.021356,0.0033817,0.0016095,0.0016538,0.0025586,0.0060814,0.003619,0.0141483,0.0162498,0.0041949,0.0084681,0.0138809,0.005649,0.0062214,0.0185741,0.0227285,0.0200439,0.0081534,0.0070742,0.0021087,0.0273881,0.0123421,0.012998
23,Construction,0.0037596,0.000434,0.0008605,0.0342608,0.0132023,0.0078432,0.0002335,0.0029115,0.0078885,0.0052651,0.0038525,0.0021048,0.0014102,0.0017686,0.0012231,0.0014337,0.0020097,0.0019757,0.0022998,0.0023038,0.0001673,0.0062048,0.0037027,0.0083992,0.0023617,0.0033834,0.0019339,0.0053801,0.0040461,0.0069285,0.0032284,0.0013669,0.0330749,0.0006451,0.0013245,0.0045725,0.0354119,0.0030634,0.0047731,0.0009912,0.0005829,0.0035984,0.0025293,0.0052935,0.0029344,0.0008649,0.0007082,0.0271786,0.0284589,0.0026639,0.0004699,0.0001423,0.0012158,0.0013347,0.0009141,0.0014355,0.0022178,0.0007193,0.0027671,0.0025122,0.0028207,0.0011187,0.0035789,0.0153946,0.00324,0.005748,0.0154461,0.0014135,0.0058802,0.0154987,0.1546515
321,Wood products,0.0016773,0.0008291,0,0.0028161,0.0012905,0,0.0270169,0.2045013,0.0016849,0.0016802,0.0004827,0.0019213,0.001141,0.0046128,0.004349,0.0005689,0.0871035,0.0074547,0.0003419,0.0011989,0.0000248,0.020925,0.000015,0,0.0002995,0.007246,0.0031669,0.0005839,0.0024686,0.0004598,0.0009938,0,0.0414103,0,0.0005374,0,0.0000477,0.0002022,0.0005608,0.0000712,0.0003661,0.0007914,0.0018862,0.0001003,0.0000062,0,0,0.0000108,0.0040835,0.0013475,0.0000188,0.0000304,0.0003263,0.0000064,0.0008778,0.0001969,0.0001553,0.0003419,0.000512,0.0000133,0.0024474,0.0000389,0.0011557,0.002922,0.0009389,0.0004018,0.0000515,0.0001435,0.0000107,0.0015582,0.00095
327,Nonmetallic mineral products,0.0000453,0.0000393,0.003775,0.0047343,0.0054877,0.0000489,0.0383362,0.0056411,0.1181037,0.0098085,0.0032371,0.0030427,0.0006448,0.0088272,0.0084868,0.0007009,0.0033023,0.0041083,0.0026969,0.0006709,0,0.0017365,0.0000085,0.0014498,0.0016163,0.0064472,0.0000171,0.0006085,0.0001132,0.0000005,0.0003381,0,0.0001583,0,0.0002457,0,0.0000003,0.0000303,0.0002465,0.0000028,0.0000061,0.0019116,0.0008416,0.0000158,0.0000415,0.0000356,0,0.0000346,0.0000252,0.0015583,0.0000002,0.0002422,0.001804,0.0000309,0.0007083,0.0015658,0.0002233,0.0016742,0.0021314,0.0004101,0.0019015,0.0000393,0.0006601,0.0002622,0.0017751,0.0014666,0.0001316,0.0010782,0,0.0005826,0.0085356
331,Primary metals,0.0001585,0,0.0201556,0.0058887,0.0019042,0.0000057,0.0031093,0.0018752,0.0146527,0.2831472,0.2202138,0.0919562,0.0108871,0.1442299,0.0698955,0.0190551,0.0480437,0.0356672,0.0017903,0.002621,0,0.0062843,0.0002442,0.0000185,0.0000361,0.0067358,0.0002103,0.0000053,0,0,0.0000098,0,0.0078201,0,0,0,0,0.0003179,0,0.0000203,0.0000398,0.0003813,0.0013435,0,0,0,0,0.0000005,0.0016638,0.0002403,0,0.0000001,0.000618,0.0000466,0.0005874,0.0017777,0.0008865,0.0001351,0.0000328,0.0000585,0.0011134,0.0001105,0.0019231,0.0001171,0.000156,0.000704,0.0007206,0.0019339,0,0.0000314,0.0020556
332,Fabricated metal products,0.0027723,0.0008006,0.0253985,0.0096824,0.0045289,0.0013916,0.0521459,0.0237592,0.0162045,0.0211156,0.1001517,0.0531881,0.019749,0.0815855,0.034182,0.0355195,0.0574117,0.0240089,0.0160399,0.0104665,0.0018793,0.027342,0.0112452,0.0008251,0.0092421,0.0277443,0.0010991,0.0011396,0.0006746,0.0003955,0.0011557,0.0009976,0.0038238,0.0214994,0.0038181,0.0038386,0.0256532,0.0008713,0.0049409,0.0013571,0.0001968,0.00966,0.0033308,0.0002053,0.0002501,0,0.0000889,0.0000095,0.0005271,0.0041081,0.0000448,0.0037138,0.0025172,0.0007285,0.0023166,0.0217158,0.0013153,0.000275,0.0017344,0.0000886,0.0082857,0.0001058,0.0029839,0.0054502,0.0029518,0.0044875,0.0100631,0.0029923,0.0018334,0.0014204,0.0193194
333,Machinery,0.0047841,0.0003664,0.0247602,0.0353081,0.0249218,0.0011634,0.0182735,0.0030433,0.0007654,0.0060299,0.0119786,0.081331,0.0009202,0.0140588,0.0456949,0.0087743,0.0017012,0.0029925,0.0045991,0.000562,0.0000544,0.0052676,0.0159541,0.0000593,0.0059053,0.0095862,0.0006414,0.0006174,0.0004215,0.0003269,0.0004332,0.0000045,0.0006708,0.0003503,0.0009799,0.0004265,0.0007454,0.0092019,0.0073608,0.000105,0.0001157,0.0009732,0.001687,0.0000041,0.0000559,0.0002562,0,0.0000154,0.0001042,0.0021349,0.0000411,0.0029345,0.0010878,0.0005021,0.0038979,0.0264384,0.0055273,0.0008753,0.0008247,0.0005851,0.000761,0.000081,0.0013635,0.000167,0.0006398,0.0064436,0.0029048,0.0009008,0.0003064,0.0019341,0.0071516
334,Computer and electronic products,0.000058,0.0000073,0.0001882,0.0002249,0.0006022,0.0001481,0.0033016,0.007957,0.0044698,0.0056012,0.0131632,0.0141266,0.1037285,0.0235463,0.0294771,0.0497455,0.011127,0.0100487,0.0024186,0.0068269,0.0004285,0.003696,0.0115287,0.0002475,0.0041076,0.007709,0.0168081,0.0032769,0.0014337,0.0013972,0.0009989,0.0000182,0.0004111,0.0000079,0.0005169,0.0000059,0.0000809,0.0001904,0.0006833,0.0044748,0.0032082,0.0268791,0.0097803,0.000879,0.0027513,0.0000094,0.0049159,0.0000002,0.0002681,0.0003769,0.0037942,0.0074136,0.0042908,0.020042,0.004676,0.0048314,0.0031976,0.0059933,0.0010556,0.0005918,0.0018288,0.0001153,0.0009287,0.0010321,0.0001794,0.0052022,0.0250355,0.0110151,0.0000003,0.0010724,0.0045481
335,"Electrical equipment, appliances, and components",0.0077257,0.0005643,0.0003985,0.0003143,0.0031671,0.0000272,0.0216463,0.0028446,0.0008921,0.0057547,0.0084559,0.0408565,0.0069474,0.0704276,0.0177046,0.0038575,0.0014349,0.0045607,0.0014678,0.001074,0.0001222,0.0027614,0.0011648,0.0001098,0.0013152,0.0030057,0.0022555,0.0011822,0.0003591,0.0013184,0.0002496,0.0000078,0.0024894,0.0004221,0.0003122,0.0009918,0.0000485,0.0001336,0.0008839,0.0000112,0,0.0041048,0.0003839,0.0001145,0.0001245,0.0000639,0,0.0000025,0.0004284,0.0009676,0.0000004,0.0039008,0.002269,0.0001688,0.0015198,0.0086621,0.0006388,0.0000191,0.0007769,0.0017,0.0035873,0.0001326,0.0035078,0.0015038,0.0005711,0.003994,0.0053004,0.0099058,0.0007112,0.000637,0.0105751
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0021798,0.0009258,0.0029502,0.0069565,0.0023463,0.0000467,0.0010932,0.0144983,0.0038274,0.0033859,0.0035399,0.0268806,0.0028374,0.0052897,0.2882096,0.0088749,0.0057218,0.0038735,0.0038854,0.001327,0.0000672,0.0063034,0.0017173,0.0001727,0.0013242,0.0022175,0.0032497,0.0061184,0.0056907,0.0008038,0.0034422,0,0.0007171,0,0.0139128,0.0057138,0.0000095,0.0004087,0.007725,0.0003337,0.0004079,0.001086,0.0009118,0.0000829,0.0000298,0,0,0,0,0.00536,0,0.0001314,0.0013592,0.0008117,0.0134146,0.0106348,0.0044804,0.0006912,0.002134,0.0005856,0.0083321,0.0007477,0.0007611,0.0006383,0.0013104,0.0142584,0.0143717,0.0004831,0.0291767,0.0043293,0.0049761
3364OT,Other transportation equipment,0,0.0000164,0,0.0000052,0,0,0.0000022,0.0001131,0,0,0.0001834,0.0009404,0,0,0.0011451,0.2386334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050849,0.0138305,0.0181893,0.0000444,0.0011219,0,0.0069479,0,0,0,0.0000071,0,0,0,0,0,0,0,0,0,0,0.0007076,0.0000022,0.000068,0.0005673,0,0,0,0,0,0,0.0003978,0,0,0,0.0581165,0.0023994,0.000045,0,0.0003421
337,Furniture and related products,0,0,0,0,0,0,0.0081879,0.0017333,0.0000012,0,0,0.0004468,0.0003584,0.0000075,0.0000259,0.0000281,0.0405517,0.0011659,0,0,0,0.0000007,0,0,0,0.0008767,0.000236,0.0003565,0,0,0.000791,0,0,0,0,0,0,0,0,0.0000009,0,0.0000872,0.0003901,0,0,0,0,0.0006635,0.0000254,0,0.0000121,0.0000028,0.000164,0.000006,0.000002,0,0,0.0001693,0.0001001,0.0000033,0.0007458,0.0018268,0.0013435,0.0000071,0.0002351,0.000272,0,0,0.0002999,0,0.003953
339,Miscellaneous manufacturing,0.0001361,0.0000078,0.0001178,0.0002644,0.0000942,0,0.0006008,0.0001281,0.0002965,0.0000791,0.0001431,0.0041117,0.0000022,0.002632,0.0029593,0.000022,0.0000575,0.0259974,0.0000291,0.0001339,0.0049719,0.0000006,0.0000404,0.0000008,0.0003436,0.0004704,0.000278,0.0007496,0.0003801,0.0000114,0.0004174,0.0000001,0.0000119,0,0.0000178,0.0001065,0.0000038,0.0002517,0.0005403,0.0000062,0.0000119,0.0000593,0.0000898,0.0000397,0.0000401,0.0000088,0,0,0.000094,0.0001004,0.0000137,0.0000139,0.0007478,0.0000057,0.0014552,0.0017144,0.0006214,0.0117841,0.0207126,0.0012331,0.002731,0.000603,0.0006462,0.0000886,0.0005447,0.0019317,0.002234,0.0006232,0,0.0018873,0.0001433
311FT,Food and beverage and tobacco products,0.0749098,0.00176,0,0,0,0,0,0.0001317,0.0052975,0.0000203,0,0,0,0,0,0,0,0.0001507,0.1686392,0.000223,0.0135052,0.0013995,0.0063787,0.0004218,0.0081554,0.0006794,0.0011148,0,0.001953,0.0005862,0.0000002,0.0011706,0.0000066,0.0042344,0.000033,0,0,0.0000277,0,0.0000471,0.0000156,0,0.0004312,0,0,0,0,0,0,0,0,0,0.0017503,0.0001293,0,0,0.0150584,0.0000034,0.0057236,0.015837,0.0510231,0.0054217,0.0212639,0.0130269,0.0644723,0.0010716,0.0076731,0.0002223,0.0049294,0.036044,0
313TT,Textile mills and textile product mills,0.000016,0.0000617,0,0.0000106,0,0,0.0006732,0.0031328,0.0015968,0,0.0000038,0.0017587,0.0000003,0.0000004,0.0022618,0.0018416,0.0361516,0.0075848,0.0000585,0.1653295,0.0911722,0.0157036,0.0029587,0.0000418,0.0000019,0.007966,0.000489,0.0000704,0.0001974,0.0103394,0.0007392,0,0,0.0002722,0.0000329,0,0,0.0000333,0.0000071,0.0000012,0.0009837,0.0000032,0.000004,0,0,0,0,0.0000001,0.0000242,0.0002611,0,0,0.0001236,0.0000212,0.0001625,0.0012601,0.0000294,0.0000588,0.0002387,0.0044871,0.0029637,0.0000001,0.0003367,0.0028521,0.0002526,0.0004166,0.0005116,0.0005233,0.000011,0.0004438,0.0000779
315AL,Apparel and leather and allied products,0.0000608,0,0,0,0,0,0,0,0.0000003,0,0,0,0,0,0.0018132,0,0,0.0007148,0.0000101,0.0000149,0.0292115,0,0.0001156,0,0,0.0000002,0.0000624,0.0000028,0,0.0002279,0.000077,0,0,0,0,0,0,0,0,0,0.0000042,0.0000053,0,0,0,0,0,0,0,0.0000258,0,0,0.0000017,0.0000008,0.0000398,0.0002628,0.0000086,0.0000003,0.000003,0,0.0000136,0.000083,0.0001183,0.000019,0.0000018,0.0006992,0.0001576,0.0000338,0.0017945,0.0003422,0.0000473
322,Paper products,0.0011239,0,0.000277,0.0013543,0.0003048,0.0000337,0.001918,0.0095591,0.015788,0.0070091,0.0060542,0.0041832,0.001774,0.0126133,0.008136,0.0015627,0.0214056,0.0134974,0.0232428,0.0087728,0.0005214,0.2319288,0.1040758,0.0002632,0.0062249,0.0186622,0.0028196,0.0005217,0.0026382,0.000857,0.0011322,0.0001315,0.0004913,0.0000302,0.0005284,0.0084204,0.0004068,0.0034323,0.0010914,0.0010234,0.0003321,0.0003783,0.0003429,0.0006077,0.0008131,0.0012432,0.0000056,0.0000002,0.0004033,0.0018012,0.00076,0.0007465,0.0014277,0.000714,0.0044733,0.0024442,0.00136,0.0009388,0.0010971,0.002117,0.0033245,0.0001949,0.00082,0.0098865,0.004048,0.000977,0.0006267,0.0046251,0.0015869,0.0049557,0.000161
323,Printing and related support activities,0.0000212,0,0.0000181,0.0000101,0,0.000012,0.0000186,0.0000119,0,0,0.0000231,0.000006,0,0.0000085,0.0000046,0,0,0,0.0000461,0,0.0000173,0,0.0112941,0.0000013,0.0000667,0,0.0031755,0.0004901,0.0004074,0.0003566,0.0042704,0.0000235,0.0000838,0,0.0002889,0.0008647,0.0000445,0.0006754,0.0000537,0.0051871,0.0021453,0.0003172,0.004543,0.0005226,0.0014696,0.0020864,0,0,0.0000586,0.0007943,0.0010905,0.0003948,0.0016817,0.0009302,0.0021571,0.000088,0.0014688,0.0010981,0.0028607,0.0003798,0.0044815,0.002734,0.0011074,0.0022347,0.0008076,0.0010761,0.0014322,0.0030058,0.0003743,0.0036954,0.0009433
